index,material_no,name,category,glass_t1_mm,glass_cavity_mm,glass_t2_mm,spectrum_ok,R_125_Hz,R_250_Hz,R_500_Hz,R_1000_Hz,R_2000_Hz,R_4000_Hz
2459,2582,Phonotech DK-65 constructie 4225 [1],,,,,True,30.2,44.5,53.7,57.3,58.6,0.0
2460,2583,Phonotech DK-85 constructie 4310 [1],,,,,True,23.8,41.5,54.7,58.3,56.6,0.0
2461,2584,Phonotech DK-85 constructie 4320 [1],,,,,True,29.3,41.5,51.2,55.3,56.6,0.0
2462,2585,Phonotech DK-85 constructie 4325 [1],,,,,True,32.8,44.5,53.7,57.3,58.6,0.0
2463,2586,Phonotech DK-45 constructie 4130 [1],,,,,True,25.0,39.1,52.6,59.3,56.5,0.0
2464,2587,Phonotech DK-45 constructie 4140 [1],,,,,True,30.5,42.1,51.6,58.3,58.5,0.0
2465,2588,Phonotech DK-45 constructie 4145 [1],,,,,True,34.0,45.1,54.1,60.3,60.5,0.0
2466,2589,Phonotech DK-65 constructie 4230 [1],,,,,True,26.2,39.3,52.2,59.0,54.6,0.0
2467,2590,Phonotech DK-65 constructie 4240 [1],,,,,True,31.7,42.3,51.2,58.0,56.6,0.0
2468,2591,Phonotech DK-65 constructie 4245 [1],,,,,True,35.2,45.3,53.7,60.0,58.6,0.0
2469,2592,Phonotech DK-85 constructie 4330 [1],,,,,True,28.8,43.0,53.7,58.8,56.4,0.0
2470,2593,Phonotech DK-85 constructie 4340 [1],,,,,True,34.3,46.0,52.7,57.8,58.4,0.0
2471,2594,Phonotech DK-85 constructie 4345 [1],,,,,True,37.8,49.0,55.2,59.8,60.4,0.0
2472,2595,Phonotech DK-45 constructie 4650 [1],,,,,True,44.7,51.0,64.7,78.8,80.9,0.0
2473,2596,Phonotech DK-65 constructie 4750 [1],,,,,True,47.7,54.5,71.7,83.0,79.4,0.0
2474,2597,Phonotech DK-85 constructie 4850 [1],,,,,True,49.7,57.0,69.7,82.0,82.9,0.0
2475,2598,Duco Ducomax Corto 10 ZR inbouw A,,,,,True,32.4,33.3,39.1,44.0,39.6,0.0
2476,2599,Duco Ducomax Corto 15 ZR inbouw A,,,,,True,31.2,31.6,35.4,41.3,40.9,0.0
2477,2600,Duco Ducomax Corto 20 ZR inbouw A,,,,,True,30.3,29.5,33.0,39.6,39.1,0.0
2478,2601,Duco Ducomax Corto 25 ZR inbouw A,,,,,True,29.7,29.1,31.2,37.9,40.6,0.0
2479,2602,Duco  Ducomax Medio 10 ZR inbouw A,,,,,True,34.1,34.1,41.5,48.3,42.1,0.0
2480,2603,Duco Ducomax Medio 15 ZR inbouw A,,,,,True,31.8,34.1,37.9,48.6,45.9,0.0
2481,2604,Duco Ducomax Medio 20 ZR inbouw A,,,,,True,31.0,31.2,37.2,44.0,39.7,0.0
2482,2605,Duco Ducomax Medio 25 ZR inbouw A,,,,,True,29.5,29.0,32.3,40.0,41.9,0.0
2483,2606,Duco Ducomax Alto 10 ZR inbouw A,,,,,True,33.8,36.9,43.5,50.5,48.1,0.0
2484,2607,Duco Ducomax Alto 15 ZR inbouw A,,,,,True,32.8,35.3,41.9,50.7,48.4,0.0
2485,2608,Duco Ducomax Alto 20 ZR inbouw A,,,,,True,30.2,32.0,38.7,49.2,43.6,0.0
2486,2609,Duco Ducomax Alto 25 ZR inbouw A,,,,,True,29.0,29.6,34.6,46.1,41.6,0.0
2487,2610,Duco Ducomax Largo 10 ZR inbouw A,,,,,True,34.4,39.5,49.0,56.4,51.6,0.0
2488,2611,Duco Ducomax Largo 15 ZR inbouw A,,,,,True,32.8,37.2,43.9,53.9,41.6,0.0
2489,2612,Duco Ducomax Largo 20 ZR inbouw A,,,,,True,31.1,35.1,43.3,48.3,42.1,0.0
2490,2613,Duco Ducomax Largo 25 ZR inbouw A,,,,,True,30.3,32.0,39.0,45.2,40.6,0.0
2491,2614,Duco Ducomax Corto 10 ZR inbouw B,,,,,True,32.3,33.2,39.0,43.9,39.5,0.0
2492,2615,Duco Ducomax Corto 15 ZR inbouw B,,,,,True,30.8,31.2,35.0,40.9,40.5,0.0
2493,2616,Duco Ducomax Corto 20 ZR inbouw B,,,,,True,28.1,27.3,30.8,37.4,36.9,0.0
